"price_formats";"1.0";;;;;;
# version : 1.0.0
"currency";"country";"currency_symbol";"currency_place";"currency_separator";"number_of_decimal_places";"decimal_separator";"integer_part_digit_grouping_pattern"
"ALL";"XXX";"L";"right";" ";"2";",";" 000"
"BAM";"XXX";"KM";"right";" ";"2";",";" 000"
"CAD";"CAN";"$";"left";;"2";".";",000"
"CAD";"XXX";"C$";"left";;"2";".";",000"
"CHF";"XXX";"CHF";"left";" ";"2";".";"'000"
"CZK";"XXX";"Kč";"right";" ";"2";",";" 000"
"EUR";"DEU";"€";"left";;"2";",";".000"
"EUR";"FRA";"€";"right";" ";"2";",";" 000"
"EUR";"IRL";"€";"left";;"2";".";",000"
"EUR";"NLD";"€";"left";;"2";",";".000"
"EUR";"XXX";"€";"left";" ";"2";",";" 000"
"GBP";"XXX";"£";"left";;"2";".";",000"
"HRK ";"XXX";"kn";"right";" ";"2";".";" 000"
"HUF";"XXX";"Ft";"right";" ";"0";",";" 000"
"ILS";"XXX";"ILS";"left";;"2";".";",000"
"INR";"XXX";"INR";"left";;"0";".";",00,00,000,000"
"JPY";"XXX";"¥";"left";;"0";".";",000"
"MXN";"MEX";"$";"left";;"2";".";"’000,000"
"MXN";"XXX";"MX$";"left";;"2";".";",000"
"PLN";"XXX";"zł";"right";" ";"0";",";" 000"
"USD";"USA";"$";"left";;"2";".";",000"
"USD";"XXX";"US$";"left";;"2";".";",000"
"XXX";"XXX";"¤";"left";" ";"2";",";" 000"
